cluster_id,n_stops,stop_names
203,4,"['Nordåsveien', 'Rosenholmveien']"
204,2,['Åstun']
205,2,['Vestskrenten']
206,2,['Grensestien']
207,2,['Åsbråten']
208,4,"['Tveita', 'Tveita T']"
209,2,['Haukåsen skole']
210,2,['Fagerholt']
211,2,['Lutvann skole']
212,3,"['Lutvannsveien', 'Ole Messelts vei']"
213,2,['Skar']
214,2,['Hammeren']
215,2,['Saga']
216,2,['Skjerven']
217,2,['Låkeberget']
218,2,['Brennenga']
219,2,['Engelsrud']
220,2,['Brekkekrysset']
221,2,['Brekkehagan']
222,2,['Korsvoll']
223,2,['Skibakken']
224,2,['Øvre Stabburvei']
225,2,['Blåsbortveien']
226,2,['Godals vei']
227,2,['Kristoffer Aamots bro']
228,2,['Fernanda Nissen skole']
229,2,['Brattlikollen T']
230,2,['Karlsrud T']
231,2,['Kjelsås stasjon']
232,2,['Badebakken']
233,2,['Bjølsen']
234,2,['Advokat Dehlis plass']
235,4,['Arkitekt Rivertz plass']
236,2,['Evald Ryghs gate']
237,2,['Telthusbakken']
238,2,['Møllerveien']
239,2,['Storgata']
240,2,['St. Halvards gate']
241,2,['Kværnerbyen']
242,4,['Galgeberg']
243,2,['Tøyen']
244,2,['Tøyenparken']
245,2,['Helgesens gate']
246,2,['Frogner stadion']
247,2,['Vigelandsparken']
248,4,['Frogner plass']
249,2,['Odins gate']
250,2,['Thune']
251,5,['Skøyen stasjon']
252,2,['Volvat']
253,2,['Borgen']
254,2,['Bernhard Herres vei']
255,2,['Holmendammen']
256,2,['Holmenenga']
257,2,['Gressbanen']
258,2,['Arnebråtveien']
259,2,['Amagerveien']
260,2,['Jarbakken']
261,2,['Nordre Jarbakken']
262,2,['Sagstua']
263,2,['Liabakken']
264,2,['Åsly']
265,2,['Grindbakken']
266,2,['Voksen skog']
267,2,['Kolåsbakken']
268,3,['Tonsenhagen']
269,2,['Tonsenhagen torg']
270,2,['Stig']
271,2,['Årvollveien']
272,2,['Årrundveien']
273,2,['Lofthus']
274,4,['Brannvaktveien']
275,2,['Korsvollbakken']
276,2,['Havnabakken']
277,2,['Nordbergveien']
278,2,['Solvang']
279,2,['Blindern vgs.']
280,2,['Eventyrveien']
281,2,['Ullevålsalléen']
282,2,['Ullevål sykehus']
283,3,['Bryn skole']
284,2,['Hellerud']
285,2,['Tveten gård']
286,2,['Skullerudbakken']
287,2,['Skullerudkrysset']
288,6,['Mortensrud T']
289,2,['Bryn brannstasjon']
290,2,['Klosterheim']
291,2,['Fretex']
292,2,['Caspar Storms vei']
293,2,['Smalvollveien']
294,2,['IKEA Furuset']
295,2,['Prof. Birkelands vei']
296,3,"['Historisk museum', 'Holbergs plass']"
297,2,['Karihaugen']
298,2,['Folkvangveien']
299,2,['Etterstadgata']
300,2,['Vålerenga']
301,2,['Harald Hårdrådes plass']
302,4,"['Munkegata', 'Oslo gate']"
303,2,['Ekeberg hageby']
304,4,['Ekeberg camping']
305,2,['Brannfjellveien']
306,2,['Utsikten']
307,2,['Ryenbergveien']
308,2,['St. Halvards plass']
309,2,['Voldsløkka']
310,2,['Tåsen allé']
311,2,['Østhellinga']
312,2,['Sam Eydes vei']
313,2,['Bjørnheim']
314,2,['Høybråten kirke']
315,2,['Solbakken']
316,2,['Bikuben']
317,2,['Karl Andersens vei']
318,2,['Granliveien']
319,2,['Fjellborg']
320,2,['Vardeheim']
321,2,['Høybråten park']
322,2,['Brunas vei']
323,2,['Blakkens vei']
324,4,"['Bjørnholt nedre', 'Bjørnholt øvre']"
325,2,['Bjørnholt skole']
326,2,['Nyjordet']
327,2,['Bjørndal senter']
328,2,['Meklenborg']
