id,name,lat,lon,stopPlaceId,cluster_id
NSR:Quay:10757,Bredtvet,59.94623,10.863266,NSR:Quay:10757,16
NSR:Quay:10669,Kalbakkstubben,59.95024,10.866291,NSR:Quay:10669,15
NSR:Quay:10301,Furuset skole,59.938012,10.891735,NSR:Quay:10301,29
NSR:Quay:10380,Trosterudkrysset,59.929404,10.865993,NSR:Quay:10380,30
NSR:Quay:11231,Ulvenkrysset,59.918964,10.816483,NSR:Quay:11231,31
NSR:Quay:11213,Teisenkrysset,59.917728,10.811757,NSR:Quay:11213,32
NSR:Quay:11131,Helsfyr T,59.913031,10.799925,NSR:Quay:11131,28
NSR:Quay:11084,Einars vei,59.92465,10.787115,NSR:Quay:11084,33
NSR:Quay:102015,Fougners vei,59.924853,10.780756,NSR:Quay:102015,34
NSR:Quay:11048,Carl Berners plass,59.926625,10.775209,NSR:Quay:11048,14
NSR:Quay:11860,Københavngata,59.929262,10.769448,NSR:Quay:11860,35
NSR:Quay:11852,Sannergata,59.928443,10.759636,NSR:Quay:11852,36
NSR:Quay:11551,Alexander Kiellands plass,59.927867,10.748896,NSR:Quay:11551,37
NSR:Quay:11559,Falck Ytters plass,59.925861,10.744693,NSR:Quay:11559,38
NSR:Quay:11531,St. Hanshaugen,59.923356,10.739447,NSR:Quay:11531,39
NSR:Quay:11514,Sofies plass,59.924256,10.735037,NSR:Quay:11514,40
NSR:Quay:11488,Bislett,59.925756,10.731738,NSR:Quay:11488,41
NSR:Quay:104066,Dalsbergstien,59.923608,10.731494,NSR:Quay:104066,42
NSR:Quay:104058,Holbergs plass,59.91864,10.734482,NSR:Quay:104058,43
NSR:Quay:101888,Tinghuset,59.91513,10.741255,NSR:Quay:101888,44
NSR:Quay:7194,Jernbanetorget,59.912095,10.751538,NSR:Quay:7194,45
NSR:Quay:7520,Prof. Aschehougs plass,59.914803,10.74056,NSR:Quay:7520,44
NSR:Quay:7574,Radisson Blu Scandinavia,59.918715,10.73382,NSR:Quay:7574,43
NSR:Quay:11970,Oslo bussterminal,59.911537,10.759329,NSR:Quay:11970,1
NSR:Quay:7573,Radisson Blu Scandinavia,59.918888,10.734019,NSR:Quay:7573,43
NSR:Quay:104062,Frydenlund,59.920884,10.733168,NSR:Quay:104062,564
NSR:Quay:104065,Dalsbergstien,59.923418,10.731736,NSR:Quay:104065,42
NSR:Quay:11487,Bislett,59.925739,10.732052,NSR:Quay:11487,41
NSR:Quay:11513,Sofies plass,59.924197,10.734892,NSR:Quay:11513,40
NSR:Quay:11528,St. Hanshaugen,59.924365,10.741904,NSR:Quay:11528,565
NSR:Quay:11557,Falck Ytters plass,59.925762,10.744833,NSR:Quay:11557,38
NSR:Quay:11548,Alexander Kiellands plass,59.927869,10.749253,NSR:Quay:11548,37
NSR:Quay:11853,Sannergata,59.92829,10.758963,NSR:Quay:11853,36
NSR:Quay:11861,Københavngata,59.929034,10.769456,NSR:Quay:11861,35
NSR:Quay:11049,Carl Berners plass,59.92639,10.77525,NSR:Quay:11049,14
NSR:Quay:102016,Fougners vei,59.924752,10.781659,NSR:Quay:102016,34
NSR:Quay:11083,Einars vei,59.924521,10.788695,NSR:Quay:11083,33
NSR:Quay:11129,Fyrstikktorget,59.913699,10.800537,NSR:Quay:11129,28
NSR:Quay:11144,Helsfyr T,59.913271,10.80257,NSR:Quay:11144,28
NSR:Quay:11205,Teisenkrysset,59.917049,10.810625,NSR:Quay:11205,32
NSR:Quay:11234,Ulvenkrysset,59.918624,10.816303,NSR:Quay:11234,31
NSR:Quay:10402,Trosterud,59.928746,10.864449,NSR:Quay:10402,30
NSR:Quay:12273,Radisson Blu Alna,59.930188,10.868225,NSR:Quay:12273,46
NSR:Quay:10284,Furuset skole,59.937546,10.892703,NSR:Quay:10284,29
NSR:Quay:8066,Majorstuen,59.92965,10.713266,NSR:Quay:8066,47
NSR:Quay:11598,Marienlyst,59.932389,10.724553,NSR:Quay:11598,48
NSR:Quay:11592,Vestre Aker kirke,59.935242,10.730628,NSR:Quay:11592,566
NSR:Quay:11578,Ullevål sykehus,59.935763,10.736687,NSR:Quay:11578,567
NSR:Quay:11608,Fayes gate,59.935231,10.741547,NSR:Quay:11608,49
NSR:Quay:11688,Sagene,59.93755,10.751396,NSR:Quay:11688,50
NSR:Quay:11712,Arendalsgata,59.937378,10.757812,NSR:Quay:11712,51
NSR:Quay:11733,Torshov,59.935039,10.76455,NSR:Quay:11733,52
NSR:Quay:11743,Torshovparken,59.933277,10.76878,NSR:Quay:11743,53
NSR:Quay:11082,Sinsen T,59.936203,10.7824,NSR:Quay:11082,54
NSR:Quay:11085,Sinsenkrysset,59.938119,10.786673,NSR:Quay:11085,55
NSR:Quay:11015,Bjerke,59.942697,10.811464,NSR:Quay:11015,56
NSR:Quay:12275,Smestad,59.938037,10.684907,NSR:Quay:12275,57
NSR:Quay:11455,Risalléen,59.945056,10.704742,NSR:Quay:11455,568
NSR:Quay:11485,Gaustad,59.945545,10.716029,NSR:Quay:11485,58
NSR:Quay:11299,Ullevål stadion,59.949775,10.732065,NSR:Quay:11299,569
NSR:Quay:11324,Berg,59.951924,10.744473,NSR:Quay:11324,59
NSR:Quay:11346,Tåsen senter,59.952766,10.751576,NSR:Quay:11346,60
NSR:Quay:11354,Bergrådveien,59.953199,10.757364,NSR:Quay:11354,61
NSR:Quay:11136,Nydalen stasjon,59.952716,10.76985,NSR:Quay:11136,62
NSR:Quay:11149,Lillo terrasse,59.951078,10.775536,NSR:Quay:11149,63
NSR:Quay:11128,Storo,59.945688,10.778886,NSR:Quay:11128,64
NSR:Quay:11108,Grefsen stasjon,59.940782,10.78137,NSR:Quay:11108,65
NSR:Quay:11088,Sinsenkrysset,59.936806,10.785989,NSR:Quay:11088,66
