from,to,lineId,lineCode,mode,authority,travelTimeSec,tripsInFeed,tripsOn2025_11_17,distance_m,speed_m_s,speed_km_h,tripsPerDay
NSR:Quay:11071,NSR:Quay:10834,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,120.0,39,43,565.8892411115851,4.715743675929875,16.97667723334755,43.0
NSR:Quay:10834,NSR:Quay:10855,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,120.0,39,43,394.7796328161169,3.289830273467641,11.843388984483507,43.0
NSR:Quay:10855,NSR:Quay:10865,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,180.0,39,43,808.9435695370496,4.4941309418724975,16.17887139074099,43.0
NSR:Quay:10865,NSR:Quay:10930,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,39,43,822.0053252293478,13.700088753822463,49.32031951376087,43.0
NSR:Quay:10930,NSR:Quay:10932,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,39,43,1414.5342398595353,23.57557066432559,84.87205439157212,43.0
NSR:Quay:10932,NSR:Quay:10776,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,39,43,875.0725814091718,14.584543023486196,52.50435488455031,43.0
NSR:Quay:10776,NSR:Quay:10800,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,120.0,39,43,1048.9015920498337,8.74084660041528,31.467047761495007,43.0
NSR:Quay:10800,NSR:Quay:10561,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,120.0,39,43,1608.4700815457327,13.403917346214438,48.25410244637198,43.0
NSR:Quay:10538,NSR:Quay:10535,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60.0,22,43,397.36249008223336,6.622708168037223,23.841749404934003,43.0
NSR:Quay:10535,NSR:Quay:10525,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60.0,22,43,1054.9249390345549,17.58208231724258,63.29549634207329,43.0
NSR:Quay:10525,NSR:Quay:10477,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60.0,22,43,542.9337195258034,9.048895325430058,32.57602317154821,43.0
NSR:Quay:10477,NSR:Quay:10484,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,120.0,22,43,430.8209497254122,3.590174581045102,12.924628491762368,43.0
NSR:Quay:10484,NSR:Quay:10736,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60.0,22,43,551.8566045199474,9.197610075332456,33.111396271196845,43.0
NSR:Quay:10736,NSR:Quay:10697,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60.0,22,43,769.4575032790775,12.824291721317959,46.16745019674465,43.0
NSR:Quay:10697,NSR:Quay:10656,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60.0,22,43,411.7538668595066,6.8625644476584435,24.7052320115704,43.0
NSR:Quay:10656,NSR:Quay:10648,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60.0,22,43,945.3482734536508,15.755804557560847,56.72089640721905,43.0
NSR:Quay:10648,NSR:Quay:10942,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60.0,22,43,768.1305749734879,12.802176249558132,46.08783449840927,43.0
NSR:Quay:10942,NSR:Quay:10955,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60.0,22,43,476.46316926993825,7.941052821165638,28.587790156196295,43.0
NSR:Quay:10955,NSR:Quay:10965,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60.0,22,43,340.3385525855043,5.672309209758406,20.42031315513026,43.0
NSR:Quay:10965,NSR:Quay:11002,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60.0,22,43,672.1636878983254,11.202728131638757,40.329821273899526,43.0
NSR:Quay:11002,NSR:Quay:11020,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60.0,22,43,403.71921172537316,6.72865352875622,24.22315270352239,43.0
NSR:Quay:11020,NSR:Quay:11059,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60.0,22,43,744.1655326483931,12.402758877473218,44.649931958903586,43.0
NSR:Quay:11059,NSR:Quay:11091,NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,bus,Flybussen Connect,60.0,22,43,746.7748051523993,12.446246752539988,44.80648830914396,43.0
