lineId,lineCode,authority,num_edges,total_travel_time_sec,avg_edge_time_sec,total_distance_m,avg_edge_distance_m,trips_per_day,commercial_speed_m_s,commercial_speed_km_h,vehicle_km_per_day,passengers_est_per_day,capacity_per_day,load_factor,speed_score,capacity_score,route_score
BRA:Line:4_6169,169,Brakar,8,1920.0,240.0,12718.261163208444,1589.7826454010556,14.0,6.624094355837731,23.846739681015833,178.05565628491823,342.01044698809613,630.0,0.5428737253779303,0.2743881731231783,0.5921256731466651,0.4332569231349217
BRA:Line:4_6200,200,Brakar,10,2940.0,294.0,18857.62135672704,1885.7621356727038,57.0,6.414156924056816,23.09096492660454,1074.8844173334412,2064.6448852177687,2565.0,0.8049297798119955,0.2583573027397827,0.9887783008153983,0.6235678017775905
INN:Line:126,126,Innlandstrafikk,67,7740.0,115.5223880597015,49349.41809862306,736.5584790839263,14.0,6.3758938111916095,22.953217720289796,690.8918533807228,1327.0695047006475,630.0,2.106459531270869,0.25543552267605646,0.00015524546069928887,0.12779538406837787
NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,Flybussen Connect,49,5820.0,118.77551020408163,28270.615316401883,576.9513329877935,47.0,4.857494040618881,17.48697854622797,1328.7189198708886,2552.211826280942,2115.0,1.2067195396127386,0.1394901683591049,0.49315194669500156,0.31632105752705325
NBU:Line:a7cafc59-feaf-4e61-9fa1-b7dce4ffe970,FB1,Flybussen Connect,56,4740.0,84.64285714285714,30366.260063364236,542.2546439886471,43.0,6.406383979612708,23.06298232660575,1305.7491827246622,2508.091407797807,1935.0,1.2961712701797452,0.25776375892139936,0.3309004213389434,0.29433209013017136
NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,Flybussen Connect,66,5820.0,88.18181818181819,43702.437006251006,662.1581364583486,43.0,7.509009794888489,27.03243526159856,1879.204791268793,3609.5886199513607,1935.0,1.8654204754270598,0.34196051876610484,0.003252877685015001,0.1726066982255599
OST:Line:1_9,9,Østfold kollektivtrafikk,19,2340.0,123.15789473684211,16585.482988783173,872.9201573043775,12.0,7.087813243069732,25.516127675051035,199.0257958653981,382.29002563762975,540.0,0.7079444919215366,0.30979785358124146,0.8939460800663767,0.6018719668238091
RUT:Line:100,100,Ruter,44,3960.0,90.0,23702.734620299492,538.6985140977157,214.0,5.9855390455301745,21.54794056390863,5072.385208744091,9743.070053120895,9630.0,1.0117414385379953,0.22562794334742284,0.8647325930907923,0.5451802682191076
RUT:Line:110,110,Ruter,24,2520.0,105.0,20964.673603142783,873.5280667976159,213.0,8.319314921882057,29.949533718775406,4465.475477469412,8577.313947386556,9585.0,0.8948684347821133,0.40383560388856504,0.9888779983587374,0.6963568011236512
RUT:Line:120,120,Ruter,20,1260.0,63.0,7336.638678972596,366.8319339486298,129.0,5.822729110295711,20.961824797064562,946.4263895874649,1817.901881343132,5805.0,0.31316139213490646,0.21319573939631223,0.20167714109860357,0.2074364402474579
RUT:Line:130,130,Ruter,4,420.0,105.0,3852.5494557787506,963.1373639446876,134.0,9.172736799473215,33.021852478103575,516.2416270743526,991.6002294644119,6030.0,0.1644444824982441,0.46900309396387085,0.07345844730431068,0.2712307706340908
RUT:Line:1331,1331,Ruter,1,60.0,60.0,587.4465617828797,587.4465617828797,3.0,9.790776029714662,35.24679370697278,1.762339685348639,3.385113374699359,135.0,0.025074913886661918,0.5161967111659409,0.02280983855447743,0.26950327486020914
RUT:Line:140,140,Ruter,4,420.0,105.0,3852.5494557787506,963.1373639446876,141.0,9.172736799473215,33.021852478103575,543.2094732648038,1043.4002414513586,6345.0,0.16444448249824406,0.46900309396387085,0.07345844730431068,0.2712307706340908
RUT:Line:150,150,Ruter,8,1260.0,157.5,10804.807673481424,1350.600959185178,168.0,8.575244185302717,30.87087906708978,1815.2076891448792,3486.662575589598,7560.0,0.46119875338486743,0.4233784210718106,0.4317910944393966,0.4275847577556036
RUT:Line:160,160,Ruter,8,1260.0,157.5,10804.807673481424,1350.600959185178,187.0,8.575244185302717,30.87087906708978,2020.4990349410261,3880.9875097336594,8415.0,0.46119875338486743,0.4233784210718106,0.4317910944393966,0.4275847577556036
RUT:Line:20,20,Ruter,52,4680.0,90.0,21489.918064791516,413.26765509214454,338.0,4.591862834357162,16.530706203685785,7263.592305899533,13951.954704010239,15210.0,0.9172882777127047,0.11920650859798869,0.9751597674866433,0.547183138042316
