scenario,AUC_Targeted,AUC_Random
Center->Outer,0.6909207450319371,0.8034856118796989
Outer->Center,0.898084007903627,0.8951830900631016
Center->Outer (Ext.),0.81930130077923,0.8980405217260629
Outer->Center (Ext.),0.888741723093038,0.895288901462721
Asker->Lillestrøm,0.24815807942984577,0.36746222105138265
Lillestrøm->Asker,0.2502968172999701,0.8999619609901155
