id,stopPlaceId,name,lat,lon,modes,stopType
NSR:Quay:29656,NSR:Quay:29656,Ringerike sykehus E16,60.147941,10.250035,"bus,coach service",multimodal
NSR:Quay:29660,NSR:Quay:29660,Trøgstad,60.1421,10.2617,bus,bus
NSR:Quay:29667,NSR:Quay:29667,Hønensvingen E16,60.134841,10.273392,bus,bus
NSR:Quay:29672,NSR:Quay:29672,Botilrud,60.129921,10.274802,bus,bus
NSR:Quay:29677,NSR:Quay:29677,Gihle,60.1243,10.2798,bus,bus
NSR:Quay:26082,NSR:Quay:26082,Sonerud,60.116634,10.282037,bus,bus
NSR:Quay:26089,NSR:Quay:26089,Vollgata,60.109543,10.285464,bus,bus
NSR:Quay:26096,NSR:Quay:26096,Steinsalléen,60.1008,10.2897,bus,bus
NSR:Quay:26166,NSR:Quay:26166,Sundvollen sentrum,60.061395,10.30863,bus,bus
NSR:Quay:110561,NSR:Quay:110561,Drammen sykehus Brakerøya,59.743042,10.233885,bus,bus
NSR:Quay:110752,NSR:Quay:110752,Bragernes strand,59.740471,10.216258,bus,bus
NSR:Quay:105498,NSR:Quay:105498,Bragernes torg,59.743248,10.202495,bus,bus
NSR:Quay:30177,NSR:Quay:30177,Dronninggata,59.7471,10.1963,"bus,coach service",multimodal
NSR:Quay:30180,NSR:Quay:30180,Fylkeshuset,59.74801,10.18933,"bus,coach service",multimodal
NSR:Quay:30183,NSR:Quay:30183,Hamborgstrøm,59.74869,10.18368,bus,bus
NSR:Quay:30192,NSR:Quay:30192,Ørengata,59.750137,10.171516,"bus,coach service",multimodal
NSR:Quay:30199,NSR:Quay:30199,Olaf Bergers vei,59.75132,10.16307,"bus,coach service",multimodal
NSR:Quay:30208,NSR:Quay:30208,Åslyveien,59.752711,10.155535,"bus,coach service",multimodal
NSR:Quay:30213,NSR:Quay:30213,Vårveien,59.75322,10.14721,"bus,coach service",multimodal
NSR:Quay:30059,NSR:Quay:30059,Farmen,59.75495,10.13399,"bus,coach service",multimodal
NSR:Quay:30063,NSR:Quay:30063,Åssiden vgs.,59.75679,10.11992,"bus,coach service",multimodal
NSR:Quay:30068,NSR:Quay:30068,Drammen Travbane,59.75762,10.11387,"bus,coach service",multimodal
NSR:Quay:28651,NSR:Quay:28651,Vinnesbråtan,59.759431,10.104163,bus,bus
NSR:Quay:28659,NSR:Quay:28659,Grøv,59.761265,10.098937,bus,bus
NSR:Quay:28665,NSR:Quay:28665,Wøllo,59.761751,10.09135,bus,bus
NSR:Quay:28670,NSR:Quay:28670,Ulverud,59.763144,10.085865,bus,bus
NSR:Quay:28675,NSR:Quay:28675,Solberg skole,59.763469,10.07736,bus,bus
NSR:Quay:28682,NSR:Quay:28682,Hågenstad,59.76297,10.066998,bus,bus
NSR:Quay:28684,NSR:Quay:28684,Austad,59.761831,10.061975,bus,bus
NSR:Quay:28691,NSR:Quay:28691,Fevang,59.7585,10.0531,bus,bus
NSR:Quay:28697,NSR:Quay:28697,Henriksbakken,59.757,10.047,bus,bus
NSR:Quay:28703,NSR:Quay:28703,Nedre Eiker kirke,59.7571,10.0393,bus,bus
NSR:Quay:28710,NSR:Quay:28710,Stenseth,59.757963,10.032505,bus,bus
NSR:Quay:28729,NSR:Quay:28729,Ødegården,59.756153,10.022293,bus,bus
NSR:Quay:28585,NSR:Quay:28585,Prestealleen,59.757763,10.016286,bus,bus
NSR:Quay:110928,NSR:Quay:110928,Eknes skole,59.758436,10.00867,bus,bus
NSR:Quay:28595,NSR:Quay:28595,Kjøsterud allé,59.7583,10.004071,bus,bus
NSR:Quay:28599,NSR:Quay:28599,Krokstad skole,59.759144,9.998928,bus,bus
NSR:Quay:28722,NSR:Quay:28722,Sandsgata,59.758332,9.997371,bus,bus
NSR:Quay:28723,NSR:Quay:28723,Buskerud Storsenter,59.756215,9.997823,bus,bus
NSR:Quay:101560,NSR:Quay:101560,Mjøndalen stasjon,59.750546,10.012482,bus,bus
NSR:Quay:28721,NSR:Quay:28721,Sandsgata,59.758378,9.997532,bus,bus
NSR:Quay:28601,NSR:Quay:28601,Krokstad skole,59.75902,9.998872,bus,bus
NSR:Quay:28596,NSR:Quay:28596,Kjøsterud allé,59.758224,10.003774,bus,bus
NSR:Quay:28590,NSR:Quay:28590,Eknes skole,59.75848,10.00888,bus,bus
NSR:Quay:28586,NSR:Quay:28586,Prestealleen,59.757473,10.016628,bus,bus
NSR:Quay:28730,NSR:Quay:28730,Ødegården,59.756035,10.022482,bus,bus
NSR:Quay:28711,NSR:Quay:28711,Stenseth,59.757851,10.032725,bus,bus
NSR:Quay:28702,NSR:Quay:28702,Nedre Eiker kirke,59.7568,10.0401,bus,bus
NSR:Quay:28696,NSR:Quay:28696,Henriksbakken,59.7569,10.0471,bus,bus
NSR:Quay:28693,NSR:Quay:28693,Fevang,59.7585,10.0536,bus,bus
NSR:Quay:28686,NSR:Quay:28686,Austad,59.761601,10.061803,bus,bus
NSR:Quay:28681,NSR:Quay:28681,Hågenstad,59.7627,10.0658,bus,bus
NSR:Quay:28676,NSR:Quay:28676,Solberg skole,59.763357,10.077614,bus,bus
NSR:Quay:28669,NSR:Quay:28669,Ulverud,59.76311,10.085551,bus,bus
NSR:Quay:28664,NSR:Quay:28664,Wøllo,59.761693,10.091573,bus,bus
NSR:Quay:28658,NSR:Quay:28658,Grøv,59.76139,10.098485,bus,bus
NSR:Quay:28653,NSR:Quay:28653,Vinnesbråtan,59.75922,10.104426,bus,bus
NSR:Quay:30067,NSR:Quay:30067,Drammen Travbane,59.75729,10.1145,"bus,coach service",multimodal
NSR:Quay:30064,NSR:Quay:30064,Åssiden vgs.,59.75617,10.12292,"bus,coach service",multimodal
NSR:Quay:30060,NSR:Quay:30060,Farmen,59.75442,10.13622,"bus,coach service",multimodal
NSR:Quay:30212,NSR:Quay:30212,Vårveien,59.75307,10.14672,bus,bus
