id,stopPlaceId,name,lat,lon,modes,stopType
NSR:Quay:11287,NSR:Quay:11287,Ullevål stadion,59.946879,10.732205,rail,rail
NSR:Quay:11655,NSR:Quay:11655,Forskningsparken,59.943734,10.7208,rail,rail
NSR:Quay:11636,NSR:Quay:11636,Blindern,59.940219,10.716101,rail,rail
NSR:Quay:8027,NSR:Quay:8027,Majorstuen,59.930047,10.714728,rail,rail
NSR:Quay:7333,NSR:Quay:7333,Nationaltheatret,59.91532,10.73222,rail,rail
NSR:Quay:7256,NSR:Quay:7256,Stortinget,59.913406,10.743199,rail,rail
NSR:Quay:7183,NSR:Quay:7183,Jernbanetorget,59.912197,10.75131,rail,rail
NSR:Quay:11928,NSR:Quay:11928,Grønland,59.91276,10.76016,rail,rail
NSR:Quay:11897,NSR:Quay:11897,Tøyen,59.915591,10.775989,rail,rail
NSR:Quay:11106,NSR:Quay:11106,Ensjø,59.913723,10.787727,rail,rail
NSR:Quay:11134,NSR:Quay:11134,Helsfyr,59.912642,10.801401,rail,rail
NSR:Quay:11899,NSR:Quay:11899,Lilleaker,59.920716,10.6366,tram,tram
NSR:Quay:11894,NSR:Quay:11894,Sollerud,59.920913,10.643145,tram,tram
NSR:Quay:11885,NSR:Quay:11885,Furulund,59.920339,10.650599,tram,tram
NSR:Quay:11874,NSR:Quay:11874,Ullern,59.924418,10.659506,tram,tram
NSR:Quay:11870,NSR:Quay:11870,Abbediengen,59.925238,10.667464,tram,tram
NSR:Quay:11850,NSR:Quay:11850,Hoff,59.924712,10.676061,tram,tram
NSR:Quay:11833,NSR:Quay:11833,Skøyen,59.922985,10.682884,tram,tram
NSR:Quay:11840,NSR:Quay:11840,Thune,59.92172,10.687906,tram,tram
NSR:Quay:7781,NSR:Quay:7781,Nobels gate,59.91759,10.698433,tram,tram
NSR:Quay:7770,NSR:Quay:7770,Skarpsno,59.914234,10.702529,tram,tram
NSR:Quay:7765,NSR:Quay:7765,Skillebekk,59.912769,10.711401,tram,tram
NSR:Quay:7731,NSR:Quay:7731,Solli,59.914885,10.719338,tram,tram
NSR:Quay:7358,NSR:Quay:7358,Nationaltheatret,59.914542,10.732983,tram,tram
NSR:Quay:7279,NSR:Quay:7279,Øvre Slottsgate,59.911694,10.741949,tram,tram
NSR:Quay:7246,NSR:Quay:7246,Dronningens gate,59.910434,10.74715,tram,tram
NSR:Quay:7167,NSR:Quay:7167,Bjørvika,59.907995,10.75709,tram,tram
NSR:Quay:104526,NSR:Quay:104526,Middelalderparken,59.906166,10.764767,tram,tram
NSR:Quay:12065,NSR:Quay:12065,Oslo Hospital,59.903115,10.767428,tram,tram
NSR:Quay:12139,NSR:Quay:12139,Ekebergparken,59.897803,10.759486,tram,tram
NSR:Quay:12190,NSR:Quay:12190,Sportsplassen,59.885876,10.774734,tram,tram
NSR:Quay:12219,NSR:Quay:12219,Holtet,59.882222,10.78321,tram,tram
NSR:Quay:12316,NSR:Quay:12316,Sørli,59.875002,10.786978,tram,tram
NSR:Quay:12322,NSR:Quay:12322,Kastellet,59.870879,10.790417,tram,tram
NSR:Quay:12332,NSR:Quay:12332,Bråten,59.867236,10.792375,tram,tram
NSR:Quay:12348,NSR:Quay:12348,Sæter,59.861318,10.798624,tram,tram
NSR:Quay:12369,NSR:Quay:12369,Ljabru,59.853631,10.800762,tram,tram
NSR:Quay:9684,NSR:Quay:9684,Nordre Brudalen,60.175201,11.093903,bus,bus
NSR:Quay:9669,NSR:Quay:9669,Hervakrysset,60.177296,11.083671,bus,bus
NSR:Quay:9839,NSR:Quay:9839,Roald Amundsens veg,60.184023,11.088418,bus,bus
NSR:Quay:9819,NSR:Quay:9819,SAS tekniske,60.184922,11.097967,bus,bus
NSR:Quay:9795,NSR:Quay:9795,Oslo lufthavn,60.19358,11.095757,bus,bus
NSR:Quay:7888,NSR:Quay:7888,Lysakerlokket,59.913044,10.634353,bus,bus
NSR:Quay:7909,NSR:Quay:7909,Lysaker brygge,59.911398,10.639317,bus,bus
NSR:Quay:7885,NSR:Quay:7885,Strandveien,59.912744,10.639406,bus,bus
NSR:Quay:11923,NSR:Quay:11923,Lysaker bru,59.914488,10.640345,bus,bus
NSR:Quay:11909,NSR:Quay:11909,CC vest,59.918419,10.636745,bus,bus
NSR:Quay:11905,NSR:Quay:11905,Lilleaker,59.92057,10.636045,bus,bus
NSR:Quay:11913,NSR:Quay:11913,Vækerøveien,59.923549,10.643217,bus,bus
NSR:Quay:12021,NSR:Quay:12021,Blokkajordet,59.924967,10.647686,bus,bus
